Venue Name,Latitude,Longitude,Venue address,Opening hours,Library facilities and services,Phone number,Parking,Meeting Room Information
Annerley Library,-27.50948,153.033338,"450 Ipswich Rd, Annerley 4103","Closed on public holidays
Monday, Tuesday and Friday: 10am - 5pm
Saturday: 9am - 1pm
Wednesday, Thursday and Sunday: closed
","Books, magazines, newspapers, eBooks and digital resources
CDs, CD-ROMs, DVDs
Information and Reference Services
Internet Access and W-Fi Access
Photocopier
Community and Council Information
Wheelchair Accessible
",Council - 07 3403 8888,"On Street, off Street and shopping centre",
Ashgrove Library,-27.444473,152.987317,"87 Amarina Ave, Ashgrove 4060","Closed on public holidays
Monday, Wednesday and Friday: 10am - 6pm
Tuesday and Thursday: 10am - 8pm
Saturday: 9am - 2pm
Sunday: Closed
","Books, magazines, newspapers, eBooks and digital resources
CDs, CD-ROMs, DVDs
Information and Reference Services
Internet Access and W-Fi Access
Community Meeting Room available 9am-9pm 7 days (by prior arrangement
Photocopier
Community and Council Information
Wheelchair Accessible
",Council - 07 3403 8888,On Street  ,"The Ashgrove Library meeting room is available for use between the hours of 9am and 9pm.
Meeting Room 1  - 50 people
Meeting Room 2  - 10 people
(The rooms can also be combined into one room to fit 60 people) 
Facilities:
Free Wi-Fi , Lectern , Electronic Whiteboard, 
Data Projector , Public Access PC connected to Data Projector , Laptop Connectivity to Data Projecter (laptop not provided) , Macbook connectivity (mini display port to vga adaptor cable) 
iPad connectivity (iPad to vga adaptor cable) , TV/DVD player, CD player , Wireless Microphones 
Wheelchair Accessibility , Wheelchair Accessible toilets , Kitchenette with chilled or boiling water on tap, sink, fridge and dishwasher (glasses, cups, saucers and teaspoons provided) , Tables (lockable wheels) , Chairs 





"
Banyo Library,-27.374559,153.078214,"284 St Vincents Rd, Banyo 4014","Closed on public holidays
Monday and Sunday: closed
Tuesday: 12 noon - 6pm
Wednesday: 10am - 5pm
Thursday: 10am - 6pm
Friday: 12 noon - 5pm
Saturday: 9am - 12 noon
","Books, magazines, newspapers, eBooks and digital resources
CDs, CD-ROMs, DVDs
Information and Reference Services
Internet Access and W-Fi Access
Community Meeting Room available
Photocopier
Community and Council Information
Wheelchair Accessible
",Council - 07 3403 8888,On street and off street,"The Banyo Library meeting rooms are available for use 24 hours a day.
Meeting Room 1 - 40 people
Meeting Room 2 - 40 people
Free Wi-Fi, Lectern, Electronic Whiteboard
Data Projector, Public Access PC connected to Data Projector, Laptop Connectivity to Data Projector (laptop not provided), Macbook connectivity (mini display port to vga adaptor cable)
iPad connectivity (iPad to vga adaptor cable), TV/DVD player, CD player, Wireless Microphones
Wheelchair Accessibility, Wheelchair Accessible toilets, Kitchenette with chilled or boiling water on tap, sink, fridge and dishwasher (glasses, cups, saucers and teaspoons provided)
Tables (lockable wheels), Chairs
"
Bracken Ridge Library,-27.31869,153.038075,"Corner Bracken and Barrett Streets, Bracken Ridge","Closed on public holidays
Monday and Sunday: closed
Tuesday and Wednesday: 10am - 8pm
Thursday: 10am - 6pm
Friday: 10am - 5pm
Saturday: 9am - 3pm
","Books, magazines, newspapers, eBooks and digital resources
CDs, CD-ROMs, DVDs
Information and Reference Services
Internet Access and W-Fi Access
Meeting room available during opening hours
Photocopier
Community and Council Information
Wheelchair Accessible
",Council - 07 3403 8888,On street and off street,"Bracken Ridge Library has a meeting room space which can comfortably seat up to 20 people. The library is situated next to a lovely tree lined park with a children's playground, and conveniently located near public transport.
The Bracken Ridge Library meeting room is available for use at the following times.

Tuesday - 10am-7.45pm
Wednesday - 10am-7.45pm
Thursday - 10am-5.45pm
Friday - 10am-4.45pm
Saturday -  
9am-2.45pm
Free Wi-Fi, Lectern
Electronic Whiteboard, Data Projector
Public Access PC connected to Data Projector
Laptop Connectivity to Data Projector (laptop not provided), Macbook connectivity (mini display port to vga adaptor cable), iPad connectivity (iPad to vga adaptor cable), TV/DVD player, CD player
Wireless Microphones, Wheelchair Accessibility
Wheelchair Accessible toilets, Kitchenette with chilled or boiling water on tap, sink, fridge and dishwasher (glasses, cups, saucers and teaspoons provided), Tables (lockable wheels)
Chairs
"
Brisbane Square Library,-27.470772,153.022319,"266 George St, Brisbane","Closed on public holidays
Monday to Thursday: 9am - 6pm
Friday: 9am - 7pm
Saturday and Sunday: 10am - 3pm
","Books, magazines, newspapers, eBooks and digital resources,Information and Reference Services
Internet lounge - 38 computers with internet access,Wireless access to the internet is available for customers with laptops or other devices,Access points have been installed on each level of the Brisbane Square Library
Checkin - returned loans will be checked in and sorted by the most advanced booksorter technology in Australia
News lounge - read local and international newspapers and watch live news broadcasts and stock report feeds on-screen
Community Languages and Literacy Collection
Community meeting rooms and study rooms - available for booking by customers
Children's lounge - promote reading with children's story time and events
Learning lounge - provide computer training for up to 18 customers in a formal or self-paced learning environment
City Zoo - tune into the latest sporting event and other popular information. City Zoo also contains the young adult collection and X-Boxes. Bring your lunch or coffee, and check out the latest sports news on the big screen
Sound and vision lounge -which provides access to DVD/video viewing pods, listening posts and an expanded audio-visual collection
Magazine lounge - with a wide range of materials and comfortable lounge style seating with views across Reddacliff Place to the Treasury Building and Queen Street Mall
Literature lounge - a venue for good reading and author events with views across Reddacliff Square and the Brisbane River
Brisbane history gallery - learn about Brisbane's past and present
Large print collection, reference collection and non-fiction, adult fiction and biographies - with comfortable seating for quiet reading
Photocopier
Wheelchair Accessible
Customer Service Counter - make Council payments such as rates, parking infringements and library fees
Central Business Centre incorporating mapping services and Town Planners - to get information and applications for development, permits and licensing; customised Brisbane maps and lost property
Express self-service kiosks - pay Council bills by credit card or access information on rates, waste and animals
Development lounge - a meeting space for Development Assessment staff and clients
",Council - 07 3403 8888,No dedicated parking,"
Brisbane Square Library hosts three meeting room spaces and 6 study spaces, in a modern and architecturally designed space. The library is centrally located, and close to all forms of public amenities.
The Brisbane Square Library meeting rooms are available for use at the following times.
 Community Meeting Room
Monday-Thursday 9am-5.45pm; Friday 9am-6.45pm; Saturday-Sunday 10am-2.45pm
Tiered Theatrette
Monday-Sunday 9am-9pm
The End Room
Monday-Thursday 9am-5.45pm; Friday 9am-6.45pm; Saturday-Sunday 10am-2.45pm
 Study Room (6 Rooms) Monday-Thursday 9am-5.45pm; Friday 9am-6.45pm; Saturday-Sunday 10am-2.45pm
*Study Rooms can be booked for a maximum of 2 hours per day
There are four study rooms. Capacity: 4. Powerpoints available. Bookings required - a 2 hour sessions can be booked.
Capacity: Community Meeting Room 20 people, Tiered Theatrette  50 people, End Room  150 people, 
Study Rooms Level 1 : 4 people, Study Rooms Level 2: 3 people
Free Wi-Fi, Lectern, Electronic Whiteboard, Data Projector, Public Access PC connected to Data Projector
Laptop Connectivity to Data Projecter (laptop not provided), Macbook connectivity (mini display port to vga adaptor cable)
iPad connectivity (iPad to vga adaptor cable),TV/DVD player, CD player, Wireless Microphones, Wheelchair Accessibility
Wheelchair Accessible toilets, Kitchenette with chilled or boiling water on tap, sink, fridge and dishwasher (glasses, cups, saucers and teaspoons provided), Tables (lockable wheels) Not Tiered Theatrette, Chairs Not Tiered Theatrette"
Bulimba Library,-27.45209,153.06281,"Cnr Riding Rd & Oxford St, Bulimba 4171","Closed on public holidays
Monday and Sunday: Closed
Tuesday, Thursday and Friday: 9am - 5pm
Wednesday: 1pm - 8pm
Saturday: 9am - 2pm
","Books, magazines, newspapers, eBooks and digital resources
CDs, CD-ROMs, DVDs
Information and Reference Services
Internet Access and W-Fi Access
Photocopier
Community and Council Information
Wheelchair Accessible
Community Meeting Room available",Council - 07 3403 8888,"The Bulimba Library car park is locked at : 5:00pm Tues, Thurs, Fri 8:00pm Wed 2:00pm Sat. 
Vehicles not removed by this time will be secured until the library's next opening day. 
Remote controls for the garage door will be offered to meeting room users to be signed out and in with keys.","The Bulimba Library meeting rooms are available for use 24 hrs a day, 7 days a week.
Meeting Room 1 : 35 people; Meeting Room 2: 12 people
Free Wi-Fi
Lectern
Electronic Whiteboard
Data Projector
Public Access PC connected to Data Projector
Laptop Connectivity to Data Projector (laptop not provided)
Macbook connectivity (mini display port to vga adaptor cable)
iPad connectivity (iPad to vga adaptor cable)
TV/DVD player, CD player
Wireless Microphones
Wheelchair Accessibility
Wheelchair Accessible toilets
Kitchenette with chilled or boiling water on tap, sink, fridge and dishwasher (glasses, cups, saucers and teaspoons provided)
Tables (lockable wheels)
Chairs
"
Carina Library,-27.49369,153.089761,"Cnr Mayfield Rd & Nyrang St, Carina 4152","Closed on public holidays
Monday, Tuesday and Friday: 10am - 6pm
Saturday: 9am- 12 noon
Wednesday, Thursday and Sunday: Closed
","Books, magazines, newspapers, eBooks and digital resources
CDs, CD-ROMs, DVDs
Information and Reference Services
Internet Access and W-Fi Access
Photocopier
Community and Council Information
Wheelchair Accessible",Council - 07 3403 8888,On street and off street,
Carindale Library,-27.501358,153.101917,"Westfield Carindale, 1151 Creek Road (near Millenium Boulevard), Carindale","Closed on public holidays
Monday, Tuesday, Wednesday and Friday: 9am - 5.30pm
Thursday: 9am - 8pm
Saturday: 9am - 3pm
Sunday: 10am - 4pm
","Books, magazines, newspapers, eBooks and digital resources
CDs, CD-ROMs, DVDs
Information and Reference Services
Greek and Chinese Language Collections
Internet Access and W-Fi Access
Community Meeting Room available
Photocopier
Community and Council Information
Wheelchair Accessible, Wheelchair charging station
Chinese and Greek collections",Council - 07 3403 8888,Shopping Centre,"The Carindale Library meeting rooms are available for use 24 hours per day.
Meeting Room 1: 30 people; Meeting Room 2: 30 people 
(The rooms can also be combined into one room to fit 60 people)
Free Wi-Fi
Lectern
Electronic Whiteboard
Data Projector
Public Access PC connected to Data Projector
Laptop Connectivity to Data Projecter (laptop not provided)
Macbook connectivity (mini display port to vga adaptor cable)
iPad connectivity (iPad to vga adaptor cable)
TV/DVD player, CD player
Wireless Microphones
Wheelchair Accessibility
Wheelchair Accessible toilets
Kitchenette with chilled or boiling water on tap, sink, fridge and dishwasher (glasses, cups, saucers and teaspoons provided)
Tables (lockable wheels)
Chairs"
Chermside Library,-27.386329,153.035194,"Chermside Library, 375 Hamilton Rd, Chermside 4032","Closed on public holidays
Monday, Wednesday and Friday: 9am - 6pm
Tuesday and Thursday: 9am - 8pm
Saturday: 9am - 3pm
Sunday: 10am - 4pm
","Books, magazines, newspapers, eBooks and digital resources
CDs, CD-ROMs, DVDs
Information and Reference Services
Internet Access and W-Fi Access
Photocopier
Community and Council Information
Wheelchair Accessible
Community Meeting Room available
Italian and Chinese collections",Council - 07 3403 8888,Off street parking and shopping centre parking,"The Chermside Library meeting rooms are available for use 24 hours per day.
Meeting Room 1: 40 people: Meeting Room 2: 80 people; Meeting Room 3: 40 people  
(Two of the rooms can also be combined into one room to fit 120 people)
Free Wi-Fi
Lectern
Electronic Whiteboard
Data Projector
Public Access PC connected to Data Projector
Laptop Connectivity to Data Projecter (laptop not provided)
Macbook connectivity (mini display port to vga adaptor cable)
iPad connectivity (iPad to vga adaptor cable)
TV/DVD player, CD player
Wireless Microphones
Wheelchair Accessibility
Wheelchair Accessible toilets
Kitchenette with chilled or boiling water on tap, sink, fridge and dishwasher (glasses, cups, saucers and teaspoons provided)
Tables (lockable wheels)
Chairs"
Coopers Plains Library,-27.564974,153.03955,"107 Orange Grove Rd, Coopers Plains 4108","Closed on public holidays
 Monday and Sunday: Closed
 Tuesday, Thursday and Friday: 10am - 5pm
 Wednesday: 10am - 8pm
 Saturday: 9am - 1pm","Books, magazines, newspapers, eBooks and digital resources
CDs, CD-ROMs, DVDs
Information and Reference Services
Internet Access and W-Fi Access
Photocopier
Community and Council Information
Wheelchair Accessible
Community Meeting Room available",Council - 07 3403 8888,Off Street and On Street,"The Coopers Plains Library meeting room is available for use from 7am-10pm each day.
Meeting Room 1: 50 people
Free Wi-Fi
Lectern
Electronic Whiteboard
Data Projector
Public Access PC connected to Data Projector
Laptop Connectivity to Data Projecter (laptop not provided)
Macbook connectivity (mini display port to vga adaptor cable)
iPad connectivity (iPad to vga adaptor cable)
TV/DVD player, CD player
Wireless Microphones
Wheelchair Accessibility
Wheelchair Accessible toilets
Kitchenette with chilled or boiling water on tap, sink, fridge and dishwasher (glasses, cups, saucers and teaspoons provided)
Tables (lockable wheels)
Chairs"
