"Venue Name","Venue type","Address","Latitude","Longitude"
"7th Brigade Park, Chermside","Park","375 Murphy Road, Chermside",-27.379418,153.030262
"A.R.C. Hill Park","Park","Goss Road, Virginia",-27.38441,153.055846
"Abbeville Street Park and Community Garden","Community Garden,Park","41 Abbeville Street, Upper Mount Gravatt",-27.54509,153.089977
"Abbott Street Park","Park","48 Abbott Street, Camp Hill",-27.499794,153.085854
"Acacia Park","Park","299 Carmody Road, St Lucia",-27.499166,153.007957
"Acacia Ridge Community Garden","Community Garden,Non-Council venue","21 Hanify Street, Acacia Ridge",-27.579676,153.018976
"Acacia Ridge Hall","Community Hall","13 Coley Street, Acacia Ridge",-27.587393,153.025771
"Acacia Ridge Leisure Centre","Swimming pool","1391 Beaudesert Road, Acacia Ridge",-27.586315,153.026348
"Acacia Ridge Tip Shop","General Council venue","46 Colebard Street West, Acacia Ridge",-27.577715,153.000687
"Acorn Circuit Park","Park","46A Boss Road, Forest Lake",-27.608569,152.966523
"Admiralty Towers II Park","Park","501 Queen Street, Brisbane City",-27.464064,153.031484
"Advanx Street Park","Park","91 Mirbelia Street, Kenmore",-27.501179,152.935661
"Akuna Street Park","Park","114 Akuna Street, Kenmore",-27.51306,152.950297
"Alan Willing Place Park, The Gap","Park","10 Bernarra Street, The Gap",-27.448196,152.959529
"Albany Creek Road Reserve","Park","534 Albany Creek Road, Bridgeman Downs",-27.351956,152.984779
"Albert Bishop Park","Park","78 Hendley Avenue, Nundah",-27.404961,153.068316
"Albion Overpass Park","Park","66 Albion Road, Albion",-27.429697,153.038545
"Albion Post Office Park","Park","389 Sandgate Road, Albion",-27.429061,153.043069
"Alcheringa Place Park","Park","14 Alcheringa Place, Robertson",-27.560985,153.053855
"Alderley Grove Park","Park","57 Chelford Street, Alderley",-27.419882,153.007693
"Aldren Street Park","Park","1 Maryland Street, Stafford Heights",-27.395837,153.012049
"Alexander Macpherson Park","Park","80 Jessica Crescent, Nudgee",-27.372138,153.088156
"Alexander Park","Park","334 Beaudesert Road, Moorooka",-27.538925,153.023581
"Alexander Smith Place Park","Park","63 Grey Street, South Brisbane",-27.471959,153.016895
"Alfred & Lucinda Best Park","Park","89 Payne Road, The Gap",-27.448777,152.953864
"Algester Road Park","Park","114 Algester Road, Calamvale",-27.60969,153.0433
"Algester Road Park (no. 515)","Park","515 Algester Road, Parkinson",-27.636493,153.029182
"Algoori Street Park","Park","121 Algoori Street, Morningside",-27.462705,153.078532
"Allamanda Street Park","Park","41 Allamanda Street, The Gap",-27.450067,152.936189
"Allara Place Park","Park","Logan Road, Eight Mile Plains",-27.583167,153.09673
"Allawah Street Park","Park","Allawah Street, Yeerongpilly",-27.530841,153.010453
"Amarina Avenue Park","Park","87 Amarina Avenue, Ashgrove",-27.444412,152.986418
"Amazon Place Park","Park","60 Thomas Macleod Avenue, Sinnamon Park",-27.530588,152.952303
"Amberjack Street Park","Park","49 Amberjack Street, Manly West",-27.472367,153.164535
"Amelia Park","Park","17 McCord Street, Gordon Park",-27.415414,153.034032
"Amott Street Park","Park","20 Ringrose Street, Stafford Heights",-27.398917,153.01648
"Anna Smith OBE Quota Park","Park","61 Kidwelly Street, Carindale",-27.503465,153.106131
"Annerley Hall","Community Hall","8 Waldheim Street, Annerley",-27.509741,153.033961
"Annerley Library","Library","450 Ipswich Road, Annerley",-27.50962,153.033062
"Anstead Bushland Reserve","Park","582 Hawksbury Road, Anstead",-27.546289,152.85696
"Antrim Street Park","Park","57 Limerick Street, Acacia Ridge",-27.593882,153.021938
"Anzac Park","Park","170 Mt Coot-tha Road, Toowong",-27.479554,152.979967
"Anzac Road Park","Park","49 Gallipoli Road, Carina Heights",-27.498492,153.091657
"Anzac Square","Park","228 Adelaide Street, Brisbane City",-27.466523,153.026648
"Appia Avenue Park","Park","44A Appia Avenue, Seven Hills",-27.479499,153.070006
"Arbor Street Park","Park","45 Tramway Street, Ferny Grove",-27.404932,152.937806
"Archer Parade Park","Park","430 Cliveden Avenue, Corinda",-27.546611,152.993307
"Archer Street Park","Park","26 Archer Street, Gordon Park",-27.421683,153.024945
"Arenga Street Park","Park","2 Arenga Street, Wakerley",-27.476242,153.152347
"Argyle Place Park","Park","3 Argyle Place, Forest Lake",-27.623682,152.957877
"Arnwood Street Park","Park","26 Sunshine Avenue, Tarragindi",-27.513256,153.040209
"Arrabri Avenue Park","Park","137 Arrabri Avenue, Mt Ommaney",-27.547174,152.931706
"Arthur Alfred Pointer Park","Park","1 Clare Place, The Gap",-27.453415,152.933494
"Arthur Davis Park","Park","231 Flinders Parade, Sandgate",-27.312134,153.068312
"Ascot Park","Park","93 Kitchener Road, Ascot",-27.429771,153.063042
"Ashgrove Avenue Park","Park","1A Quandong Street, Ashgrove",-27.436082,153.003677
"Ashgrove Library","Library","87 Amarina Ave, Ashgrove",-27.443829,152.986835
"Ashgrove Memorial Park","Park","19 Kadanga Street, Ashgrove",-27.444808,152.99076
"Ashgrove Quarry Park","Park","142 St Johns Avenue, Ashgrove",-27.444153,152.964835
"Ashgrove Scenic Reserve","Park","121 St Johns Avenue, Ashgrove",-27.442121,152.965098
"Ashgrove Sportsground Park","Park","Yuku Road, Ashgrove",-27.441876,152.973454
"Aspire Street Park","Park","9 Altitude Street, Rochedale",-27.575355,153.12075
"Aspley mobile library","Mobile library","46 Gayford Street, Aspley",-27.363554,153.015734
"Aspley Rest Park","Park","1526 Gympie Road, Carseldine",-27.358117,153.014906
"Aspley Special School Garden","Community Garden,Non-Council venue","751 Zillmere Road, Aspley",-27.356862,153.021861
"Assembly Street Park","Park","61 Assembly Street, Salisbury",-27.547738,153.024247
"Assembly Street Park (no. 75)","Park","75 Assembly Street, Salisbury",-27.548619,153.0256
"Austin Uhlmann Park","Park","205 Richmond Road, Morningside",-27.472923,153.080576
"Avondale Park","Park","32 Blyde Street, Sinnamon Park",-27.543446,152.944871
"Bacton Road Park","Park","727 Tilley Road, Chandler",-27.518205,153.153846
"Badrick Place Park","Park","21 Inwood Place, The Gap",-27.432131,152.938992
"Balaangala Community Group Garden Space","Community Garden,Non-Council venue","98 Yoorala Street, The Gap",-27.449364,152.938664
"Bald Hills Cemetery","General Council venue","225 Barrett Street, Bracken Ridge",-27.318066,153.033393
"Balfour Park","Park","56 Winslow Street, Darra",-27.569606,152.955702
"Balis Street Park","Park","72 Marshall Road, Holland Park West",-27.524082,153.061732
"Ballinderry Street Park","Park","17 Ballinderry Street, Everton Park",-27.397595,152.982945
