HASTUS,TRANSLINK_ID,DESCRIPTION,STREETNAME,ADJ_PROPERTY_ADDRESS,SUBURB,WARD,EASTING,NORTHING,LATITUDE,LONGITUDE,STATUS,SERVICE_TYPE,FARE_ZONE,OWNERSHIP,MOORING,MOORING_PONTOON,PONTOON_LENGTH,PONTOON_WIDTH,PONTOON_MATERIAL,BOARDING_GATES,DDA_COMPLIANT,GANGWAY_LENGTH,GANGWAY_WIDTH,GANGWAY_LEVEL_LANDING,PIER_PILES,WAITING_AREA_WALK_WAYS,WC_ALLOCATED_SPACE,SEAT_PRESENT,SEAT_HEIGHT_IN_RANGE,BIN,DRINKING_FOUNTAIN_PRESENT,TIMETABLE_TYPE,TIMETABLE_IN_VIEW_RANGE,TGSI_PRESENT,HERITAGE_BUILDING,LIGHTING,CCTV,EMERGENCY_CALL_POINT,ACCESSIBILITY,PARKING,NEARBY_BUS_SERVICES,LAST_INSPECTION_DATE
317573,306646,UQ St Lucia Ferry,Sir William Macgregor Dr,342 CARMODY RD,ST LUCIA,ST LUCIA,501931.5313,6958543,-27.49675066,153.0195548,ACTIVE,,2,COUNCIL,,,,,,,,,,,,,,,,,,TBC,,,,,,,Disabled Access,,Yes,
317585,306658,Norman Park Ferry,Wynnum Rd,66 WYNNUM ED,NORMAN PARK,MORNINGSIDE,505295.0313,6961024,-27.47434157,153.053596,ACTIVE,CityFerry,2,COUNCIL,Yes,No,6,4,concrete ,1,No,8,1.4,No,PILES,Yes,,Yes,,,No,TBC,,,,,Yes,Yes,,,Yes,
317587,306660,Teneriffe Ferry,Commercial Rd,17 SKYRING TCE,TENERIFFE,CENTRAL,504885.75,6963517,-27.45183766,153.0494431,ACTIVE,CityCat & CityFerry,2,COUNCIL,Yes,Yes,21,5,Steel ,2,Yes,25,2,No,PILES,Yes,,Yes,,,No,TBC,,,,LED,Yes,Yes,Disabled Access,,Yes,
317580,306653,Holman Street Ferry,Holman St,126 HOLMAN ST,KANGAROO POINT,THE GABBA,503310.0313,6961981,-27.46570867,153.0335012,ACTIVE,CityFerry & CityHopper ,1,COUNCIL,No,No,37,9.5,Steel ,3,Yes,16.5,2,Yes,PIER,Yes,,Yes,,,No,TBC,,,,LED,Yes,Yes,,,,
317584,306657,Bulimba Ferry,Oxford St,2 OXFORD ST,BULIMBA,MORNINGSIDE,505152.8125,6963642.5,-27.45070196,153.0521453,ACTIVE,CityCat & CityFerry,2,COUNCIL,Yes,No,21,5,Steel ,3,Yes,19,2,Yes,PILES,Yes,,Yes,,,No,TBC,,,,LED,Yes,No,Disabled Access,,Yes,
317582,306655,Mowbray Park Ferry,Park Av,31 PARK AVE,EAST BRISBANE,THE GABBA,504273.2813,6960697.5,-27.477292,153.043255,ACTIVE,CityCat,2,COUNCIL,No,No,8,6,Steel ,2,No,29,2,No,PILES,Yes,,Yes,,,Yes,TBC,,,,,Yes,Yes,Disabled Access,Yes - limited,Yes,
317589,306662,Sydney Street Ferry,Sydney St,112 OXLADE DR,NEW FARM,CENTRAL,504167.9688,6960975.5,-27.474786,153.042188,ACTIVE,CityCat & CityFerry,2,COUNCIL,No,No,37,9.5,Steel ,3,Yes,16.5,2,Yes,PIER,Yes,,Yes,,,No,TBC,,,,LED,Yes,Yes,Disabled Access,,Yes,
317591,306664,Eagle Street Pier Ferry,Eagle St,32 MACROSSAN ST,BRISBANE CITY,CENTRAL,503058.2813,6961642.5,-27.46876614,153.030954,ACTIVE,CityFerry & CityHopper ,1,COUNCIL,No,No,15,3.5,concrete ,1,No,11.5,0.9,No,PILES,No,,Yes,,,No,TBC,,,,,No,No,,,Yes,
317576,306649,South Bank 2 Ferry,Clem Jones Promanade,153 STANLEY ST,SOUTH BRISBANE,THE GABBA,502212,6960828,-27.476123,153.02239,ACTIVE,CityCat,1,COUNCIL,No,No,7,4.5,Steel ,1,No,14.5,1.8,No,PILES,No,,No,,,No,TBC,,,,,No,No,Assisted Mobility Impaired Access,,Yes,
317574,306647,West End Ferry,Hoogley St,55 HOOGLEY ST,WEST END,THE GABBA,500318.3438,6959247,-27.49039734,153.0032226,ACTIVE,CityCat,2,COUNCIL,Yes,No,19.5,6,Steel ,2,Yes,23,2,No,PILES,Yes,,Yes,,,No,TBC,,,,LED,Yes,Yes,Disabled Access,,Yes,
