METER_NO,CATEGORY,STREET,SUBURB,MAX_STAY_HRS,RESTRICTIONS,OPERATIONAL_DAY,OPERATIONAL_TIME,TAR_ZONE,TAR_RATE_WEEKDAY,TAR_RATE_AH_WE,LOC_DESC,VEH_BAYS,MC_BAYS,MC_RATE,LONGITUDE,LATITUDE,MOBILE_ZONE
4006,TICKETLESS METER MULTISPACE,FORTESCUE ST,SPRING HILL,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",$1.60,,Fortescue St between York Pde & Laisby Driver in Spring Hill,4,0,,153.023612,-27.458958,4000294
4007,TICKETLESS METER MULTISPACE,ST PAULS TCE,SPRING HILL,3,"CLEARWAY 7-9 AM , 4-7 PM MON-FRI TOWAWAY",MON-FRI,9AM-4PM,"Zone 2, 15 min free",$2.70,,St Pauls Tce between Gloucester St & Boundary St in Spring Hill,5,0,,153.027436,-27.460389,4000316
4008,TICKETLESS METER MULTISPACE,GREGORY TCE,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Gregory Tce between Kaligna Ave & Pool Entry in Spring Hill,16,0,,153.022179,-27.458441,4000263
4009,TICKETLESS METER MULTISPACE,GREGORY TCE,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Gregory Tce between Kaligna Ave & Pool Entry in Spring Hill,13,0,,153.024164,-27.457185,4000263
4010,TICKETLESS METER MULTISPACE,GREGORY TCE,SPRING HILL,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Gregory Tce between Pool Entry & Brunswick Tce in Spring Hill,11,0,,153.02688,-27.453861,4000431
4011,TICKETLESS METER MULTISPACE,GREGORY TCE,SPRING HILL,4,"NO STOPPING 7-9 AM , 4-6 PM MON-FRI TOWAWAY",MON-FRI,9AM-4PM,"Zone 2, 15 min free",$1.60,,Gregory Tce between Brunswick Tce & Warry St in Spring Hill,7,0,,153.028017,-27.453254,4000430
4012,TICKETLESS METER MULTISPACE,WARRY ST,FORTITUDE VALLEY,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",$1.60,,Warry St between Gregory Tce & Water St in Spring Hill,14,0,,153.028,-27.454064,4000336
4013,TICKETLESS METER MULTISPACE,WARRY ST,FORTITUDE VALLEY,2,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",$2.70,,Warry St between Gregory Tce & Water St in Spring Hill,5,0,,153.028634,-27.454581,4000337
4014,TICKETLESS METER MULTISPACE,WARRY ST,FORTITUDE VALLEY,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",$1.60,,Warry St between Water St & Bathgate St in Spring Hill,7,0,,153.028709,-27.454737,4000336
4015,TICKETLESS METER MULTISPACE,WARRY ST,FORTITUDE VALLEY,4,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",$1.60,,Warry St between Bathgate St & Gregory Tce in Spring Hill,5,0,,153.027535,-27.453823,4000335
