Wifi Hotspot Name,Address,Suburb,Latitude,Longitude,Site
,30 HERSCHEL ST NR NORTH QUAY,BRISBANE CITY,-27.467956,153.018788,
,127 Queen St,BRISBANE CITY,-27.46967,153.02515,
,141 Queen St,BRISBANE CITY,-27.46924,153.02579,
,155 Queen St,BRISBANE CITY,-27.46882,153.02657,
,33 Queen St,BRISBANE CITY,-27.47067,153.02387,
,33 Queen St,BRISBANE CITY,-27.47048,153.02392,
,100 George St,BRISBANE CITY,-27.473066,153.025544,
,109 Elizabeth St,BRISBANE CITY,-27.470596,153.025824,
,136 Elizabeth St,BRISBANE CITY,-27.470011,153.026413,
,232 Albert St,BRISBANE CITY,-27.469209,153.024791,
,10 Eagle St,BRISBANE CITY,-27.469399,153.030166,
,128 Edward St,BRISBANE CITY,-27.469984,153.028516,
,10 Charlotte St,BRISBANE CITY,-27.47234,153.02498,
,180 Mary St,BRISBANE CITY,-27.470447,153.029261,
,165 Adelaide St,BRISBANE CITY,-27.467763,153.02595,
,179 Ann St,BRISBANE CITY,-27.467221,153.024958,
,232 Adelaide St,BRISBANE CITY,-27.46656,153.027263,
,345 Queen St,BRISBANE CITY,-27.46673,153.02909,
,35 Creek St,BRISBANE CITY,-27.467561,153.029193,
,70 Adelaide St,BRISBANE CITY,-27.469385,153.023778,
,15 Adelaide St,BRISBANE CITY,-27.469975,153.023175,
,88 Adelaide St,BRISBANE CITY,-27.46906,153.024087,
,135 Margaret St,BRISBANE CITY,-27.47281561,153.0281487,
,3 Edward St,BRISBANE CITY,-27.47202,153.0305,
,123 Albert St,BRISBANE CITY,-27.47078,153.02641,
,54 Adelaide St,BRISBANE CITY,-27.469538,153.023588,
,76 George St,BRISBANE CITY,-27.473893,153.026353,
,91 Queen St,BRISBANE CITY,-27.4702,153.02444,
,58 Roma St,BRISBANE CITY,-27.46768,153.02212,
,20 Makerston St,BRISBANE CITY,-27.466833,153.018736,
,96 Albert St,BRISBANE CITY,-27.471699,153.027213,
,35 Turbot St,BRISBANE CITY,-27.46888,153.021202,
,304 George St,BRISBANE CITY,-27.469877,153.022385,
,9 Duncan St,FORTITUDE VALLEY,-27.458311,153.033223,
,275 Brunswick St,FORTITUDE VALLEY,-27.45774,153.03407,
,256 Wickham St,FORTITUDE VALLEY,-27.45688,153.03409,
,230 Brunswick St,FORTITUDE VALLEY,-27.456809,153.032926,
,51 Chester St,FORTITUDE VALLEY,-27.455837,153.042673,
,65 James St,FORTITUDE VALLEY,-27.45758223,153.0408661,
,163 Given Tce,PADDINGTON,-27.46228,153.00868,
,18 Caxton St,PETRIE TERRACE,-27.464555,153.012713,
,202 Given Tce,PADDINGTON,-27.4618,153.00605,
,193 Wickham Tce,BRISBANE CITY,-27.465428,153.02407,
,24 Berry St,SPRING HILL,-27.464947,153.023778,
,73 Wickham Tce,SPRING HILL,-27.464606,153.026722,
,369 Ann St,BRISBANE CITY,-27.464118,153.029049,
,74 Little Edward St,SPRING HILL,-27.461039,153.024367,
,67 Astor Tce,SPRING HILL,-27.463507,153.026053,
,1 Astor Tce,SPRING HILL,-27.46387,153.024851,
,465 Wickham Tce,SPRING HILL,-27.46179,153.02098,
,135 Wickham Tce,BRISBANE CITY,-27.464807,153.025661,
,17 Gregory Tce,SPRING HILL,-27.46044,153.01869,
,149 Wickham Tce,SPRING HILL,-27.464646,153.025356,
,100 Grey St,SOUTH BRISBANE,-27.47408,153.018486,
,50 Ernest St,SOUTH BRISBANE,-27.479379,153.021689,
,121 Merivale St,SOUTH BRISBANE,-27.481457,153.021087,
,"Grey St, Maritime Museum",SOUTH BRISBANE,-27.48187,153.02538,
, Grey St,SOUTH BRISBANE,-27.47868477,153.0227853,
,20 Duncan St,FORTITUDE VALLEY,-27.45895629,153.034177,
,390 Brunswick St,FORTITUDE VALLEY,-27.45933,153.03634,
,267 Brunswick St,FORTITUDE VALLEY,-27.45741,153.03363,
,316 Brunswick St,FORTITUDE VALLEY,-27.45774,153.03407,
,39 James St,FORTITUDE VALLEY,-27.45689634,153.0400461,
,Intersection of Caxton St and Petrie Tce,BRISBANE,-27.464852,153.013268,
,47-55 Caxton St (outside Caxton Thai and 7 Nights Convenience Store),BRISBANE,-27.464075,153.012389,
,Intersection of Caxton St and Hale St,BRISBANE,-27.463395,153.011378,
,140 Caxton St,PADDINGTON,-27.46291439,153.0099488,
,Intersection of Caxton St and Dowse St,PADDINGTON,-27.462316,153.008898,
,Intersection of Albert St and Alice St,BRISBANE CITY,-27.473612,153.028942,
,Intersection of George St and Alice St,BRISBANE CITY,-27.474748,153.027119,
,Intersection of George St and Adelaide St,BRISBANE CITY,-27.470306,153.02278,
,Intersection of Edward  St and Margaret St,BRISBANE CITY,-27.471365,153.030052,
,Intersection of Felix St and Mary St,BRISBANE CITY,-27.470161,153.029606,
,159 William Street,BRISBANE CITY,-27.472409,153.023582,
,102 William Street,BRISBANE CITY,-27.473496,153.024893,
,Intersection of Margaret and William St,BRISBANE CITY,-27.474436,153.02582,
,Intersection of Alice and William St,BRISBANE CITY,-27.475144,153.026505,
,Intersection of North Quay and Queen St,BRISBANE CITY,-27.471396,153.022694,
,Intersection of North Quay and Adelaide St,BRISBANE CITY,-27.470901,153.022096,
,Intersection of North Quay and Ann St,BRISBANE CITY,-27.470031,153.021108,
,42 Makerston St,BRISBANE CITY,-27.467405,153.017789,
,Intersection of Roma St and Parkland,BRISBANE CITY,-27.467218,153.020932,
,Intersection of Turbot St and Albert St,BRISBANE CITY,-27.467416,153.023131,
,Intersection of Ann St and Roma St,BRISBANE CITY,-27.468296,153.023412,
,Intersection of Charlotte St and Albert St,BRISBANE CITY,-27.471144,153.026854,
,Intersection of Charlotte and Creek St,BRISBANE CITY,-27.468581,153.02993,
,Intersection of Elizabeth St and Creek St,BRISBANE CITY,-27.467901,153.029341,
,Intersection of Elizabeth St and George St,BRISBANE CITY,-27.471761,153.024443,
,Intersection of Ann and George St,BRISBANE CITY,-27.469468,153.021954,
,Intersection of Adelaide St and Creek St,BRISBANE CITY,-27.466392,153.027805,
,Intersection of Creek St and Queen St,BRISBANE CITY,-27.46691,153.028579,
,Intersection of Wharf St and Queen St,BRISBANE CITY,-27.465686,153.030161,
,443 Queen Street,BRISBANE CITY,-27.46488,153.031327,
,80 Eagle Street,BRISBANE CITY,-27.467057,153.029948,
,Intersection of Adelaide St and Queen St,BRISBANE CITY,-27.463745,153.031258,Park
,Intersection of Adelaide St and Albert St,BRISBANE CITY,-27.468741,153.024521,
,Intersection of Adelaide St and Wharf St,BRISBANE CITY,-27.464883,153.029411,
,256 Ann Street (Central Station Exit),BRISBANE CITY,-27.466202,153.026353,
,Intersection of Ann St and Creek St,BRISBANE CITY,-27.465544,153.026988,
,Intersection of Turbot St and Edward St,BRISBANE CITY,-27.466043,153.024893,
,Intersection of Turbot St and Wharf St,SPRING HILL,-27.463729,153.028235,
,208 Boundary Street,SPRING HILL,-27.46176496,153.0299777,
,70 Wickham St,FORTITUDE VALLEY,-27.46171055,153.031091,
,211 Adelaide St,BRISBANE CITY,-27.466884,153.027173,
,Intersection of Queen St and Edward St,BRISBANE CITY,-27.468348,153.027071,
,Intersection of George St and Queen St,BRISBANE CITY,-27.471017,153.023694,
,Intersection of George St and Tank St,BRISBANE CITY,-27.467975,153.02074,
,Intersection of George St and Herchel St,BRISBANE CITY,-27.467302,153.019817,
,City Botanic Gardens,BRISBANE CITY,-27.475228,153.028856,Park
,King George Square,BRISBANE CITY,-27.468269,153.024276,Park
,Post Office Square,BRISBANE CITY,-27.467459,153.027402,Park
,King Edward Park Jacobs Ladder,BRISBANE CITY,-27.465809,153.023932,Park
,Intersection of Albert and Mary St,BRISBANE CITY,-27.471962,153.027597,
,Intersection of Herschel  St and North Quay,BRISBANE CITY,-27.468291,153.018609,
,Intersection of Edward St and Charlotte St,BRISBANE,-27.469878,153.0283,
,Intersection of Ann St and Edward St,BRISBANE,-27.466817,153.025294,
,Intersection of Mary St and George St,BRISBANE,-27.473275,153.025901,
,Intersection of Margaret St and George St,BRISBANE,-27.473993,153.026649,
,71 Eagle St - Riparian Plaza,BRISBANE,-27.468136,153.030957,
,Victoria Bridge - CBD side,BRISBANE CITY,-27.471764,153.022499,
,Intersection of Brunswick St and Ann St,FORTITUDE VALLEY,-27.458385,153.035003,
,Intersection of Ann and Warner St,FORTITUDE VALLEY,-27.457697,153.035644,
,25 Warner St,FORTITUDE VALLEY,-27.457253,153.035064,
,678-694 Ann St,FORTITUDE VALLEY,-27.457893,153.035017,
,7 Winn St,FORTITUDE VALLEY,-27.457846,153.036124,
,27 Doggett St,NEWSTEAD,-27.455397,153.04202,
,19 Chester St,NEWSTEAD,-27.454684,153.041277,
,9 Chester St,NEWSTEAD,-27.454173,153.040675,
,1000 Ann St,FORTITUDE VALLEY,-27.453484,153.03985,
,Intersection of Ann St and Wandoo St,FORTITUDE VALLEY,-27.45456,153.038786,
,9 Wandoo St,FORTITUDE VALLEY,-27.455171,153.039583,
,52 Wandoo St,FORTITUDE VALLEY,-27.456413,153.041379,
,49 James St,FORTITUDE VALLEY,-27.45712,153.040317,
,15 James St,FORTITUDE VALLEY,-27.456054,153.038923,
,Intersection of Ann St and East St,FORTITUDE VALLEY,-27.455461,153.037878,
,162 Arthur St,FORTITUDE VALLEY,-27.457795,153.040973,
,22 Wandoo St,FORTITUDE VALLEY,-27.455498,153.04018,
,104 MacLachlan St,FORTITUDE VALLEY,-27.456378,153.03859,
,849 Ann St,FORTITUDE VALLEY,-27.455891,153.037676,
,James St Precinct,FORTITUDE VALLEY,-27.45555,153.039581,
,James St Precinct,FORTITUDE VALLEY,-27.45584023,153.0394588,
,James St Precinct,FORTITUDE VALLEY,-27.456335,153.038874,
,James St Precinct,FORTITUDE VALLEY,-27.456917,153.039038,
,James St Precinct,FORTITUDE VALLEY,-27.456435,153.039698,
,James St Precinct,FORTITUDE VALLEY,-27.456487,153.040001,
,James St Precinct,FORTITUDE VALLEY,-27.456429,153.03913,
,James St Precinct,FORTITUDE VALLEY,-27.456159,153.039584,
,169 Given Terrace,PADDINGTON,-27.462074,153.007561,
,235 Given Terrace,PADDINGTON,-27.461339,153.005131,
,252 Given Terrace,PADDINGTON,-27.461037,153.004061,
,Intersection of Given Tce and Latrobe Tce,PADDINGTON,-27.460389,153.002524,
,Einbumpin Lagoon (Brighton Rd),SANDGATE,-27.319647,153.068013,Park
,Hidden World Park (Roghan Rd),FITZGIBBON,-27.339671,153.034982,Park
,7th Brigade Park (Delaware St),CHERMSIDE,-27.378073,153.045342,Park
,7th Brigade Park - Kidspace (Murphy Rd),CHERMSIDE,-27.378502,153.034144,Park
,Teralba Park (Cnr Pullen- and Osborne Rds),EVERTON PARK,-27.402601,152.980938,Park
,Kalinga Park (Kalinga St),WOOLOOWIN,-27.406684,153.05223,Park
,Oriel Park (Cnr Alexandra  and Lancaster Rds),ASCOT,-27.428918,153.057855,Park
,Gregory Park (Baroona Rd and Murruba St),PADDINGTON,-27.466169,152.999193,Park
,Brisbane Botanic Gardens - Japanese Garden (Mt Coot-tha Rd),TOOWONG,-27.47717,152.977058,Park
,"218 Sir Samuel Griffith Drive, Mount Coot-Tha",TOOWONG,-27.485014,152.958818,
,New Farm Park (Brunswick St),NEW FARM,-27.470268,153.052223,Park
,Guyatt Park (End of Hiron St),ST LUCIA,-27.492785,153.001571,Park
,Rocks Riverside Park (AP1) (Counihan Rd),SEVENTEEN MILE ROCKS,-27.541513,152.959327,Park
,Booker Place Park (Birkin Rd and Sugarwood St),BELLBOWRIE,-27.5626,152.893667,Park
,The Lake Parklands (Forest Lake Blvd),FOREST LAKE,-27.620266,152.966331,Park
,Calamvale District Park (Formby St and Ormskirk St),CALAMVALE,-27.620848,153.038002,Park
,D.M. Henderson Park (Granadilla St),MACGREGOR,-27.569531,153.071415,Park
,Glindemann Park (Logan Rd),HOLLAND PARK,-27.52656,153.069546,Park
, Carindale Recreation Reserve (Cadogan St and Bedivere St),CARINDALE,-27.496784,153.108657,Park
,Orleigh Park (Hill End Terrace / Orleigh St),WEST END,-27.48995,153.00326,Park
,Roma Parklands 1 (3 Parkland Blvd),BRISBANE,-27.463469,153.017472,Park
,Roma Parklands 2,BRISBANE,-27.4633,153.01802,Park
,Roma Parklands 3,BRISBANE,-27.463047,153.018785,Park
,Roma Parklands 4,BRISBANE,-27.463827,153.01895,Park
,Roma Parklands 5,BRISBANE,-27.463671,153.018384,Park
,Roma Parklands 6,BRISBANE,-27.462581,153.017153,Park
,Roma Parklands 7,BRISBANE,-27.462292,153.019397,Park
,Roma Parklands 8,BRISBANE,-27.46282,153.020052,Park
,Intersection of Grey St and Vulture St,SOUTH BRISBANE,-27.482493,153.024347,
,Intersection of Grey St and Tribune St,SOUTH BRISBANE,-27.480803,153.022952,
,176-186 Grey St,SOUTH BRISBANE,-27.479731,153.02235,
,Intersection of Grey St and Glenelg St,SOUTH BRISBANE,-27.477563,153.020965,
,Intersection of Grey St and Russell St,SOUTH BRISBANE,-27.475645,153.019612,
,59 Grey St,SOUTH BRISBANE,-27.472366,153.01741,
,Southbank Public Area near FDB12,SOUTH BRISBANE,-27.478988,153.024073,
,Southbank Public Area near FDB5B,SOUTH BRISBANE,-27.480811,153.02447,
,Southbank Public Area near FDB10,SOUTH BRISBANE,-27.479065,153.023651,
,Southbank Riverside Green Playground,SOUTH BRISBANE,-27.4772,153.02251,
,Southbank Little Stanley St,SOUTH BRISBANE,-27.477563,153.021486,
,Southbank Pir A (FDB31),SOUTH BRISBANE,-27.47487523,153.0211448,
,Southbank Cultural Forecourt,SOUTH BRISBANE,-27.47392,153.02037,
,Southbank Victoria Bridge,SOUTH BRISBANE,-27.473002,153.019642,
,Southbank Public Area near FDB16 (SB01 - Southbank Overview),SOUTH BRISBANE,-27.478261,153.023812,
,South Bank 2 Ferry Terminal,SOUTH BRISBANE,-27.476138,153.022057,
,SB01 - Southbank Overview (Inside Arbour Walk),SOUTH BRISBANE,-27.477924,153.02201,
,Southbank Boardwalk next to green lawn and close to Southbank Pier 3,SOUTH BRISBANE,-27.48032751,153.0248507,
,Southbank Near Maritime Museum,SOUTH BRISBANE,-27.48127,153.02583,
,SB01 - Southbank Overview (FDB7),SOUTH BRISBANE,-27.480221,153.024602,
,SB01 - Southbank Overview (FDB11),SOUTH BRISBANE,-27.47968,153.02429,
,SB01 - Southbank Overview (Little Stanley St 1),SOUTH BRISBANE,-27.48033679,153.023393,
,SB01 - Southbank Overview (Little Stanley St 2),SOUTH BRISBANE,-27.47956047,153.0228867,
,SB01 - Southbank Overview (Little Stanley St 3),SOUTH BRISBANE,-27.47907301,153.0225627,
,SB01 - Southbank Overview (Little Stanley St 4),SOUTH BRISBANE,-27.477285,153.021714,
,SB01 - Southbank Overview (FDB 33) and SB08 FDBs,SOUTH BRISBANE,-27.474908,153.020361,
,SB01 - Southbank Overview (FDB 34) and SB08 FDBs,SOUTH BRISBANE,-27.47423,153.019912,
,SB01 - Southbank Overview (Rain Bank) and SB07 Rain Bank,SOUTH BRISBANE,-27.47594,153.02145,
,SB01 - Southbank Overview (Piazza) and SB6 Piazza,SOUTH BRISBANE,-27.476764,153.021349,
,SB01 - Southbank Overview (Piazza) and SB6 Piazza,SOUTH BRISBANE,-27.476916,153.02173,
,SB01 - Southbank Overview (Riverside Restaurant),SOUTH BRISBANE,-27.480689,153.024839,
,SB01 - Southbank Overview (Gazebo on small island),SOUTH BRISBANE,-27.47787,153.02301,
,SB01 - Southbank Overview (Southbank House),SOUTH BRISBANE,-27.478652,153.022463,
,SB01 - Southbank Overview (Southbank House),SOUTH BRISBANE,-27.478455,153.022653,
,SB01 - Southbank Overview (Allgas Building),SOUTH BRISBANE,-27.478869,153.022931,
,SB01 - Southbank Overview (Arbour View Cafes),SOUTH BRISBANE,-27.479534,153.02344,
,SB01 - Southbank Overview (Arbour View Cafes),SOUTH BRISBANE,-27.480181,153.023879,
,SB01 - Southbank Overview (Arbour View Cafes),SOUTH BRISBANE,-27.480059,153.024083,
,SB01 - Southbank Overview (River Quay Restaurants),SOUTH BRISBANE,-27.480821,153.025031,
,SB01 - Southbank Overview (River Quay Restaurants),SOUTH BRISBANE,-27.480888,153.025569,
,SB01 - Southbank Overview (Piazza) and SB6 Piazza,SOUTH BRISBANE,-27.477252,153.02146,
,SB01 - Southbank Overview (Piazza) and SB6 Piazza,SOUTH BRISBANE,-27.477116,153.021364,
,SB01 - Southbank Overview (Piazza) and SB6 Piazza,SOUTH BRISBANE,-27.476976,153.021271,
,Victoria Bridge,SOUTH BRISBANE,-27.473077,153.01988,
,"218 Sir Samuel Griffith Drive, Mount Coot-Tha",TOOWONG,-27.484857,152.959131,
,"1012 Sir Samuel Griffith Drive, Mount Coot-Tha",TOOWONG,-27.484567,152.959526,
Annerley Library Wifi,450 Ipswich Road,"Annerley, 4103",-27.50942285,153.0333218,Library
Ashgrove Library Wifi,87 Amarina Avenue,"Ashgrove, 4060",-27.44394629,152.9870981,Library
Banyo Library Wifi,284 St. Vincents Road,"Banyo, 4014",-27.37396641,153.0783234,Library
Bracken Ridge Library Wifi,Corner Bracken and Barrett Street,"Bracken Ridge, 4017",-27.31797261,153.0378735,Library
Brisbane Square Library Wifi,"Brisbane Square, 266 George Street","Brisbane, 4000",-27.47091173,153.0224598,Library
Bulimba Library Wifi,Corner Riding Road & Oxford Street,"Bulimba, 4171",-27.45203086,153.0628242,Library
